LookUp_BoroughName,population
Camden,210390
Hackney,259956
Hammersmith and Fulham,183295
Haringey,264130
Islington,216767
Kensington and Chelsea,143940
Lambeth,317498
Lewisham,299810
Newham,350626
Southwark,306374
Tower Hamlets,312273
Wandsworth,328367
Westminster,205087
Barking and Dagenham,218534
Barnet,388639
Bexley,246543
Brent,338918
Bromley,329830
Croydon,390506
Ealing,366127
Enfield,329601
Greenwich,289254
Harrow,260987
Havering,262022
Hillingdon,304792
Hounslow,287940
Kingston upon Thames,167845
Merton,215324
Redbridge,309836
Richmond upon Thames,195232
Sutton,209517
Waltham Forest,278050
