LookUp_BoroughName,poverty_Rate
Barking and Dagenham,0.29
Barnet,0.26
Bexley,0.26
Brent,0.32
Bromley,0.17
Camden,0.41
Croydon,0.26
Ealing,0.34
Enfield,0.33
Greenwich,0.21
Hackney,0.28
Hammersmith and Fulham,0.18
Haringey,0.33
Harrow,0.23
Havering,0.16
Hillingdon,0.22
Hounslow,0.28
Islington,0.25
Kensington and Chelsea,0.29
Kingston upon Thames,0.22
Lambeth,0.28
Lewisham,0.32
Merton,0.14
Newham,0.35
Redbridge,0.27
Richmond upon Thames,0.11
Southwark,0.25
Sutton,0.22
Tower Hamlets,0.39
Waltham Forest,0.23
Wandsworth,0.34
Westminster,0.43
